Beds,Baths,SQFT,Lot_Size,Has_Garage,New_Construction,Days_on_Market,Property_Type,Asking_Price,Sold_Price,Difference_in_Price,Stories,Condition,Parking_Spaces,Central_Air,Tax_Value,Property Age,distance_from_downtown,distance_from_metro,regions
4.0,4.5,1527.0,1292.0,No,No,71,Townhouse,989900.0,850000,-139900.0,3,Average,1,Yes,726960,110,2.08917549913004,0.2887429187963402,DC Other
5.0,5.5,873.0,22109.0,Yes,No,3,Single Family,1195000.0,1310000,115000.0,2,Average,0,Yes,1137500,60,15.185716336604026,3.3795365567575733,MD
3.0,2.5,2100.0,7000.0,Yes,No,5,Townhouse,399000.0,400000,1000.0,3,Average,0,Yes,312733,14,23.477907733380952,13.401041630537494,MD
3.0,2.0,904.0,6209.0,No,No,7,Single Family,599000.0,604999,5999.0,2,Average,0,Yes,447800,75,8.717172074736007,1.4129059320466673,MD
5.0,5.0,4704.0,218689.0,Yes,No,102,Single Family,1499000.0,1399000,-100000.0,3,Average,0,Yes,995690,33,18.831856938189624,8.614188185494482,VA
4.0,4.5,1527.0,1292.0,No,No,71,Townhouse,989900.0,850000,-139900.0,3,Average,1,Yes,726960,110,2.08917549913004,0.2887429187963402,DC Other
5.0,5.5,2424.0,22109.0,Yes,No,3,Single Family,1195000.0,1310000,115000.0,2,Average,0,Yes,1137500,60,15.185716336604026,3.3795365567575733,MD
3.0,2.5,2520.0,7000.0,Yes,No,5,Townhouse,399000.0,400000,1000.0,3,Average,0,Yes,312733,14,23.477907733380952,13.401041630537494,MD
3.0,2.0,1205.0,6209.0,No,No,7,Single Family,599000.0,604999,5999.0,2,Average,0,Yes,447800,75,8.717172074736007,1.4129059320466673,MD
4.0,2.0,2353.0,2516.0,Yes,No,13,Townhouse,949000.0,949000,0.0,3,Average,0,Yes,693980,98,2.0293890361647264,0.7174544917132075,DC Other
4.0,3.0,1680.0,8386.0,No,No,3,Single Family,879000.0,1050000,171000.0,2,Very Good,0,Yes,601100,67,9.370570006558193,0.950332366634763,MD
4.0,3.5,1926.0,2850.0,No,No,13,Townhouse,1190000.0,1160000,-30000.0,3,Average,0,No,573280,97,3.2765856836987948,1.0251124707785448,DC Other
4.0,3.5,823.0,2178.0,No,No,22,Townhouse,599000.0,608000,9000.0,3,Average,0,Yes,513333,41,10.529759450613586,2.5200249997881308,MD
3.0,3.0,518.0,1332.0,No,No,6,Townhouse,599000.0,569900,-29100.0,3,Average,1,Yes,488400,48,9.607079303773185,0.7300668065323638,VA
4.0,3.5,605.0,2890.0,Yes,No,6,Townhouse,400000.0,448000,48000.0,3,Very Good,0,Yes,318667,22,24.073378146671416,7.867143283647938,MD
4.0,2.5,1324.0,8570.0,Yes,No,10,Single Family,699000.0,685000,-14000.0,3,Average,0,Yes,541860,43,15.35535685131362,4.279277020889127,VA
3.0,2.0,1100.0,1232.0,No,No,7,Townhouse,599000.0,619000,20000.0,3,Very Good,0,Yes,414660,84,3.2801320453677842,0.7978996235324414,DC Other
